tree_num,direction,tpz_m,tpz_mm,cx,cy,cx_phase1,cy_phase1
404,Protect,4.80,19.98,572.74,1992.73,-243.0099,-628.1690
406,Protect,3.60,14.78,528.04,1967.51,-216.5143,-675.9473
405,Protect,1.20,4.90,561.57,1956.32,-211.3376,-637.4108
354,Protect,4.80,19.98,438.63,1956.30,-205.3043,-765.3573
635,Protect,6.00,25.00,827.02,1956.36,-199.7293,-376.5129
566,Protect,3.60,14.90,494.52,1942.30,-191.3043,-709.4673
641,Protect,3.60,14.80,662.17,1947.93,-190.0542,-540.2745
565,Protect,7.20,30.00,494.53,1911.49,-160.4943,-709.4573
636,Protect,4.80,19.90,732.04,1894.73,-143.3816,-466.5503
639,Protect,7.20,30.00,670.57,1891.92,-137.9445,-527.0370
564,Protect,1.20,4.96,511.30,1883.49,-132.4943,-692.6873
640,Protect,6.00,25.00,623.07,1886.31,-127.9043,-574.6743
642,Protect,3.60,14.80,592.34,1877.90,-126.9043,-611.6473
637,Protect,6.00,24.90,720.87,1866.72,-111.4058,-476.0832
562,Protect,6.00,25.00,544.85,1855.49,-104.4943,-659.1373
638,Protect,4.80,19.80,706.92,1824.70,-66.2622,-497.5815
520,Removal (1),4.80,19.90,751.64,1791.10,-38.0575,-447.8784
667,Protect,3.60,14.80,1271.36,1757.58,-6.5843,67.3727
376,Protect,4.80,19.84,475.03,1757.45,-6.4543,-728.9573
560,Protect,1.20,4.96,528.12,1746.26,4.7357,-675.8673
559,Protect,3.60,14.60,500.18,1746.25,4.7457,-703.8073
519,Removal (1),3.60,14.80,827.10,1743.50,9.5425,-372.4184
212,Removal (1),6.00,24.96,863.42,1737.91,15.1325,-336.0984
117,Protect,3.60,14.67,1243.44,1715.56,35.4357,39.4527
214,Removal (1),6.00,24.96,801.96,1707.09,45.9525,-397.5584
213,Removal (1),6.00,24.90,838.29,1701.49,51.5525,-361.2284
557,Protect,3.60,14.62,477.84,1698.64,52.3557,-726.1473
211,Removal (1),7.20,29.82,877.41,1693.10,59.9425,-322.1084
526,Removal (1),3.60,14.60,659.47,1684.66,68.3825,-540.0484
514,Removal (1),1.20,4.96,922.12,1679.10,73.9425,-277.3984
513,Removal (1),1.20,4.96,933.31,1659.50,93.5425,-266.2084
511,Removal (1),3.60,14.60,958.46,1648.30,104.7425,-241.0584
527,Removal (1),3.60,14.70,631.54,1642.65,110.3925,-567.9784
204,Removal (1),7.20,29.88,989.20,1631.50,121.5425,-210.3184
512,Removal (1),3.60,14.62,938.90,1631.49,121.5525,-260.6184
509,Removal (1),3.60,14.64,857.88,1609.07,143.9725,-341.6384
207,Removal (1),6.00,24.84,933.34,1572.68,180.3625,-266.1784
203,Removal (1),6.00,24.96,1031.14,1567.09,185.9525,-168.3784
205,Removal (1),3.60,14.60,1014.37,1558.69,194.3525,-185.1484
490,Removal (1),3.60,14.70,1014.37,1558.69,194.3525,-185.1484
206,Removal (1),6.00,24.88,980.85,1553.08,199.9625,-218.6684
202,Removal (1),6.00,24.96,1064.67,1550.29,202.7525,-134.8484
484,Protect,3.60,14.64,1268.65,1530.72,220.2757,64.6627
485,Protect,3.60,14.64,1268.65,1530.72,220.2757,64.6627
495,Removal (1),3.60,14.64,1006.00,1527.88,225.1625,-193.5184
494,Removal (1),3.60,14.60,997.63,1513.87,239.1725,-201.8884
496,Removal (1),3.60,14.70,997.63,1513.87,239.1725,-201.8884
209,Removal (1),1.20,4.90,869.09,1511.05,241.9925,-330.4284
529,Removal (1),3.60,14.80,536.60,1491.39,261.6525,-662.9184
301,Removal (1),7.20,29.84,651.16,1477.41,275.6325,-548.3584
76,Protect,4.80,19.80,1184.85,1477.49,278.3725,-11.7173
201,Removal (1),7.20,29.94,1064.70,1474.67,278.3725,-134.8184
216,Removal (1),3.60,14.76,841.17,1474.64,278.4025,-358.3484
302,Removal (1),6.00,24.96,623.23,1463.40,289.6425,-576.2884
208,Removal (1),3.60,14.76,944.56,1460.65,292.3925,-254.9584
77,Protect,4.80,19.80,1226.77,1457.89,293.1057,22.7827
304,Removal (1),8.40,34.84,531.03,1440.98,312.0625,-668.4884
309,Protect,3.60,14.60,380.14,1438.16,312.8357,-823.8473
544,Protect,3.60,14.80,788.10,1407.41,343.5857,-415.8873
505,Removal (1),4.80,19.90,869.13,1407.42,345.6225,-330.3884
536,Removal (1),3.60,14.70,623.25,1387.78,365.2625,-576.2684
531,Removal (1),6.00,24.90,547.81,1384.97,368.0725,-651.7084
217,Removal (1),4.80,19.80,950.17,1382.23,370.8125,-249.3484
219,Removal (1),3.60,14.92,986.50,1379.44,373.6025,-213.0184
220,Removal (1),4.80,19.90,986.50,1379.44,373.6025,-213.0184
532,Removal (1),3.60,14.64,567.37,1379.37,373.6725,-632.1484
74,Protect,3.60,14.72,1193.27,1376.67,374.3257,-10.7173
535,Removal (1),3.60,14.90,612.08,1376.58,376.4625,-587.4384
534,Removal (1),3.60,14.70,595.32,1376.57,376.4725,-604.1984
221,Removal (1),6.00,24.88,1017.24,1365.44,387.6025,-182.2784
218,Removal (1),3.60,14.94,992.09,1357.03,396.0125,-207.4284
500,Removal (1),4.80,19.80,1020.04,1348.63,404.4125,-179.4784
231,Protect,6.00,24.86,654.01,1342.97,408.0257,-549.9773
306,Protect,7.20,30.00,477.97,1342.95,408.8244,-731.3568
73,Protect,6.00,24.96,1131.81,1329.05,418.3096,-55.9782
230,Protect,7.20,29.94,670.77,1331.77,419.2257,-533.2173
229,Protect,7.20,29.94,701.51,1320.58,430.4157,-502.4773
305,Protect,7.20,29.82,508.72,1317.75,432.5227,-692.4258
232,Protect,4.80,19.84,480.78,1309.34,441.8174,-720.0868
225,Protect,7.20,29.88,760.21,1281.38,467.3136,-442.5054
707,Protect,1.20,4.96,1182.13,1281.44,469.5557,-21.8573
233,Protect,3.60,14.62,508.74,1256.13,502.6803,-697.4495
706,Protect,1.20,4.96,1204.49,1242.24,508.7557,0.5027
70,Protect,1.20,4.96,1092.74,1208.61,531.1674,-80.6684
226,Protect,6.00,24.94,777.00,1216.96,534.0257,-421.3873
234,Protect,4.80,19.88,570.23,1216.93,534.0657,-633.7573
224,Protect,4.80,19.88,832.88,1216.97,535.0257,-370.7799
71,Protect,3.60,14.72,1224.06,1211.43,539.5657,20.0727
223,Protect,1.20,4.90,855.24,1200.17,550.8257,-348.7473
228,Protect,4.80,19.84,631.71,1194.53,556.4657,-572.2773
447,Protect,3.60,14.60,818.92,1186.16,564.8357,-385.0673
227,Protect,4.80,19.90,701.57,1172.14,578.8557,-502.4173
449,Protect,3.60,14.88,911.13,1166.57,584.4257,-292.8573
446,Protect,6.00,24.84,782.60,1160.95,590.0457,-421.3873
