Original #,S #,Fieldwire #,Species,Botanical Name,DBH (cm),Condition,Ownership,Direction,TPZ (m),Permit Required,Building Section,Fieldwire Photo,Notes,Status
30,,694,Austrian Pine,Pinus nigra,34,Fair,RNFP,Protect,4.8,No,270,694.jpg,Photo: 29-33.jpg,Matched
31,,691,White Mulberry,Morus alba,18,Fair,RNFP,Protect,3.6,No,270,"691.jpg, 691_2.jpg",Photo: 29-33.jpg,Matched
34,,688,Austrian Pine,Pinus nigra,33,Fair,RNFP,Protect,4.8,No,270,688.jpg,Photo: 34-41.jpg,Matched
35,,695,Austrian Pine,Pinus nigra,31,Good-Fair,RNFP,Protect,4.8,No,270,"695.jpg, 695_2.jpg",Photo: 34-41.jpg,Matched
37,,696,Austrian Pine,Pinus nigra,41,Fair,RNFP,Protect,6,No,270,696.jpg,Photo: 34-41.jpg,Matched
38,,697,Austrian Pine,Pinus nigra,47,Fair,RNFP,Protect,6,No,270,697.jpg,Photo: 34-41.jpg,Matched
39,,701,Austrian Pine,Pinus nigra,44,Fair,RNFP,Remove,,Yes,270,701.jpg,Photo: 34-41.jpg,Matched
41,,687,Austrian Pine,Pinus nigra,46,Fair,RNFP,Protect,6,No,270,687.jpg,Photo: 34-41.jpg,Matched
44,,683,Ginkgo Biloba,Gingko biloba,5,Good,RNFP,Protect,1.2,No,270,683.jpg,Photo: 43-46.jpg,Matched
45,,681,Horsechestnut,Aesculus hippocastanum,5,Good,RNFP,Protect,1.2,No,270,681.jpg,Photo: 43-46.jpg,Matched
47,,677,Red Pine,Pinus resinosa,27,Good-Fair,RNFP,Protect,3.6,No,270,677.jpg,"Photo: 47,48,51,52.jpg",Matched
48,,678,Honeylocust,Gleditsia triacanthos,29,Fair,RNFP,Protect,3.6,No,270,678.jpg,"Photo: 47,48,51,52.jpg",Matched
50,,470,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,270,470.jpg,Photo: 49-50.jpg,Matched
52,,676,Honeylocust,Gleditsia triacanthos,36,Good-Fair,RNFP,Protect,4.8,No,270,676.jpg,"Photo: 47,48,51,52.jpg",Matched
53,,469,Austrian Pine,Pinus nigra,40,Fair,RNFP,Protect,4.8,No,270,469.jpg,Photo: 53-57.jpg,Matched
54,,471,Russian Olive,Elaeagnus angustifolia,24,Fair,RNFP,Protect,3.6,No,270,471.jpg,Photo: 53-57.jpg,Matched
55,,468,Russian Olive,Elaeagnus angustifolia,12,Fair,RNFP,Protect,3.6,No,270,468.jpg,Photo: 53-57.jpg,Matched
56,,473,Austrian Pine,Pinus nigra,53,Good-Fair,RNFP,Protect,7.2,No,270,473.jpg,Photo: 53-57.jpg,Matched
59,,669,Austrian Pine ,Pinus nigra,27,Fair,RNFP,Protect,3.6,No,270,669.jpg,Photo: 58-60.jpg,Matched
60,,670,Austrian Pine,Pinus nigra,32,Fair,RNFP,Protect,4.8,No,270,"670.jpg, 670_2.jpg",Photo: 58-60.jpg,Matched
61,,671,Austrian Pine,Pinus nigra,53,Fair,RNFP,Protect,7.2,No,270,"671.jpg, 671_2.jpg",Photo: 61-63.jpg,Matched
64,,708,Amur Maple,Acer grinnala,17,Fair,RNFP,Protect,3.6,No,270,708.jpg,Photo: 64-69.jpg,Matched
65,,698,Amur Maple,Acer grinnala,24,Fair,RNFP,Protect,3.6,No,270,698.jpg,Photo: 64-69.jpg,Matched
66,,702,Amur Maple,Acer grinnala,10,Fair,RNFP,Remove,,Yes,270,702.jpg,Photo: 64-69.jpg,Matched
67,,699,Amur Maple,Acer grinnala,25,Fair,RNFP,Remove,,Yes,270,699.jpg,Photo: 64-69.jpg,Matched
68,,700,Amur Maple,Acer grinnala,27,Fair,RNFP,Injury,3.6,Yes,270,700.jpg,Photo: 64-69.jpg,Matched
69,,703,Amur Maple,Acer grinnala,22,Fair,RNFP,Remove,,Yes,270,703.jpg,Photo: 64-69.jpg,Matched
70,,450,Callery Pear,Pyrus calleryana,8,Good,RNFP,Protect,1.2,No,270,450.jpg,Photo: 70.jpg,Matched
71,,705,Pyramidal English Oak,Quercus robur,16,Good,RNFP,Remove,,Yes,270,705.jpg,Photo: 71-72.jpg,Matched
73,,451,Silver Maple,Acer saccharinum,48,Good,RNFP,Remove,,Yes,270,451.jpg,Photo: 73-75.jpg,Matched
74,,452,Colorado Spruce,Picea pungens,16,Good,RNFP,Remove,,Yes,270,452.jpg,Photo: 73-75.jpg,Matched
76,,487,Silver Maple,Acer saccharinum,30,Good-Fair,RNFP,Remove,,Yes,270,487.jpg,Photo: 76-77.jpg,Matched
77,,486,Silver Maple,Acer saccharinum,30,Good-Fair,RNFP,Remove,,Yes,270,486.jpg,Photo: 76-77.jpg,Matched
78,,482,Colorado Spruce,Picea pungens,18,Good,RNFP,Remove,,Yes,270,482.jpg,Photo: 78-79.jpg,Matched
79,,483,Flowering Crab Apple,Malus spp.,26,Good-Fair,RNFP,Remove,,Yes,270,483.jpg,Photo: 78-79.jpg,Matched
101,,479,Linden,Tilia cordata,38,Good-Fair,RNFP,Remove,,Yes,270,479.jpg,Photo: 101-104.jpg,Matched
103,,480,Linden,Tilia cordata,40,Good,RNFP,Remove,,Yes,260,480.jpg,Photo: 101-104.jpg,Matched
104,,481,Linden,Tilia cordata,31,Good,RNFP,Remove,,Yes,260,481.jpg,Photo: 101-104.jpg,Matched
105,,476,Norway Maple,Acer platanoides,47,Good,RNFP,Protect,6,No,260,476.jpg,"Photo: 105,107,108.jpg",Matched
106,,477,Silver Maple,Acer saccharinum,8,Good,RNFP,Remove,,Yes,260,477.jpg,,Matched
107,,478,Freeman Maple,Acer x. freemanii,7,Good,RNFP,Protect,1.2,No,260,"478.jpg, 478_2.jpg","Photo: 105,107,108.jpg",Matched
111,,661,White Birch,Betula papyrifera,"6, 5, 4",Good-Fair,RNFP,Remove,,Yes,260,661.jpg,Photo: 111-112.jpg,Matched
112,,662,White Birch,Betula papyrifera,"10, 6.5, 8, 8",Good,RNFP,Remove,,Yes,260,662.jpg,Photo: 111-112.jpg,Matched
113,,664,Red Pine,Pinus resinosa,11,Good,RNFP,Remove,,Yes,260,664.jpg,Photo: 113-114.jpg,Matched
114,,665,Eastern Redbud,Cercis canadensis,13,Fair,RNFP,Remove,,Yes,260,665.jpg,Photo: 113-114.jpg,Matched
115,,666,Norway Spruce,Picea abies,7,Good,RNFP,Remove,,Yes,260,666.jpg,Photo: 115.jpg,Matched
117,,668,Apple,Malus sp.,"10, 9",Fair,RNFP,Remove,,Yes,260,668.jpg,Photo: 117.jpg,Matched
126,,628,Austrian Pine,Pinus nigra,46,Good,RNFP,Remove,,Yes,260,628.jpg,Photo: 126-128.jpg,Matched
127,,629,Austrian Pine,Pinus nigra,39,Good,RNFP,Remove,,Yes,260,629.jpg,Photo: 126-128.jpg,Matched
128,,627,Austrian Pine,Pinus nigra,45,Good,RNFP,Remove,,Yes,260,627.jpg,Photo: 126-128.jpg,Matched
129,,634,Austrian Pine,Pinus nigra,46,Good,RNFP,Remove,,Yes,260,"634.jpg, 634_2.jpg",Photo: 129-130.jpg,Matched
201,,497,Silver Maple,Acer saccharinum,57,Good-Fair,RNFP,Remove,,Yes,260,497.jpg,Photo: 201-204.jpg,Matched
202,,488,Silver Maple,Acer saccharinum,48,Fair-Poor,RNFP,Remove,,Yes,260,488.jpg,Photo: 201-204.jpg,Matched
203,,489,Silver Maple,Acer saccharinum,48,Good-Fair,RNFP,Remove,,Yes,260,"489.jpg, 489_2.jpg, 489_3.jpg, 489_4.jpg",Photo: 201-204.jpg,Matched
204,,510,Silver Maple,Acer saccharinum,54,Good-Fair,RNFP,Remove,,Yes,260,510.jpg,Photo: 201-204.jpg,Matched
205,,491,Clump Common Lilac,Syringa vulgaris,10,Good-Fair,RNFP,Remove,,Yes,260,"491.jpg, 491_2.jpg",Photo: 205-206.jpg,Matched
206,,493,Norway Maple,Acer platanoides,44,Good-Fair,RNFP,Remove,,Yes,260,493.jpg,Photo: 205-206.jpg,Matched
207,,508,Norway Maple,Acer platanoides,42,Good-Fair,RNFP,Remove,,Yes,260,508.jpg,Photo: 207.jpg,Matched
208,,498,Flowering Crab Apples,Malus spp.,"10, 15 ",Good-Fair,RNFP,Remove,,Yes,260,498.jpg,Photo: 208-209.jpg,Matched
209,,507,Common Lilac,Syringa vulgaris,5,Good,RNFP,Remove,,Yes,260,507.jpg,Photo: 208-209.jpg,Matched
211,,515,Austrian Pine,Pinus nigra,51,Good,RNFP,Remove,,Yes,260,515.jpg,Photo: 211-215.jpg,Matched
212,,516,Austrian Pine,Pinus nigra,48,Good,RNFP,Remove,,Yes,260,516.jpg,Photo: 211-215.jpg,Matched
213,,517,Austrian Pine,Pinus nigra,45,Fair,RNFP,Remove,,Yes,260,517.jpg,Photo: 211-215.jpg,Matched
214,,518,Linden,Tilia cordata,48,Good,RNFP,Remove,,Yes,260,518.jpg,Photo: 211-215.jpg,Matched
216,,506,Flowering Crab Apple,Tilia cordata,18,Good,RNFP,Remove,,Yes,260,506.jpg,Photo: 216-221.jpg,Matched
217,,504,Colorado Spruce,Picea pungens,30,Good-Fair,RNFP,Remove,,Yes,260,504.jpg,Photo: 216-221.jpg,Matched
218,,501,Colorado Spruce,Picea pungens,27,Good-Fair,RNFP,Remove,,Yes,260,501.jpg,Photo: 216-221.jpg,Matched
219,,503,Colorado Spruce,Picea pungens,26,Good-Fair,RNFP,Remove,,Yes,260,503.jpg,Photo: 216-221.jpg,Matched
220,,502,Colorado Spruce,Picea pungens,35,Good-Fair,RNFP,Remove,,Yes,260,"502.jpg, 502_2.jpg",Photo: 216-221.jpg,Matched
221,,499,Colorado Spruce,Picea pungens,44,Good-Fair,RNFP,Remove,,Yes,260,499.jpg,Photo: 216-221.jpg,Matched
223,,448,Silver Maple,Acer saccharinum,5,Good,RNFP,Protect,1.2,No,260,448.jpg,Photo: 223.jpg,Matched
224,,545,Amur Maple,Acer grinnala,34,Fair,RNFP,Protect,4.8,No,260,545.jpg,Photo: 224.jpg,Matched
225,,542,Black Ash,Fraxinus nigra,54,Poor,RNFP,Protect,7.2,No,260,542.jpg,Photo: 225.jpg,Matched
226,,543,Black Ash,Fraxinus nigra,47,Poor,RNFP,Protect,6,No,260,543.jpg,Photo: 226.jpg,Matched
227,,445,Honeylocust,Gleditsia triacanthos,35,Good-Fair,City,Protect,4.8,No,260,"445.jpg, 445_2.jpg",Photo: 227.jpg,Matched
228,,444,Honeylocust,Gleditsia triacanthos,32,Good-Fair,City,Protect,4.8,No,260,"444.jpg, 444_2.jpg",Photo: 228.jpg,Matched
229,,541,Austrian Pine,Pinus nigra,57,Good-Fair,RNFP,Protect,7.2,No,260,541.jpg,Photo: 229-231.jpg,Matched
230,,540,Austrian Pine,Pinus nigra,57,Good-Fair,RNFP,Protect,7.2,No,260,540.jpg,Photo: 229-231.jpg,Matched
231,,539,Austrian Pine,Pinus nigra,43,Good-Fair,City,Protect,6,No,260,539.jpg,Photo: 229-231.jpg,Matched
232,,547,Flowering Crab Apple,Malus spp.,32,Good-Fair,City,Protect,4.8,No,260,"547.jpg, 547_2.jpg",Photo: 232.jpg,Matched
233,,442,Flowering Crab Apple,Malus spp.,11,Poor,City,Protect,3.6,No,260,442.jpg,Photo: 233.jpg,Matched
234,,443,Honeylocust,Gleditsia triacanthos,34,Good-Fair,City,Protect,4.8,No,260,"443.jpg, 443_2.jpg",Photo: 234.jpg,Matched
301,,538,Austrian Pine,Pinus nigra,52,Fair,RNFP,Remove,,Yes,250,538.jpg,Photo: 301-302.jpg,Matched
302,,537,Austrian Pine,Pinus nigra,48,Fair,RNFP,Remove,,Yes,250,537.jpg,Photo: 301-302.jpg,Matched
304,,530,Norway Maple,Acer platanoides,62,Good-Fair,RNFP,Remove,,Yes,250,"530.jpg, 530_2.jpg",Photo: 304.jpg,Matched
305,,546,Norway Maple,Acer platanoides,51,Good-Fair,RNFP,Protect,7.2,No,250,546.jpg,Photo: 305-307.jpg,Matched
306,,548,Norway Maple,Acer platanoides,60,Good-Fair,RNFP,Protect,7.2,No,250,"548.jpg, 548_2.jpg",Photo: 305-307.jpg,Matched
309,,549,Common Lilacs,Syringa vulgaris,10,Fair,RNFP,Protect,3.6,No,250,"549.jpg, 549_2.jpg",Photo: 309.jpg,Matched
312,,435,Sugar Maple,Acer saccharum,22,Good,City,Protect,3.6,No,250,435.jpg,Photo: 312.jpg,Matched
314,,429,Sugar Maple,Acer saccharum,34,Poor,City,Protect,4.8,No,250,429.jpg,Photo: 314.jpg,Matched
315,,434,Austrian Pine,Pinus nigra,66,Good-Fair,RNFP,Protect,8.4,No,250,434.jpg,Photo: 315.jpg,Matched
317,,428,Austrian Pine,Pinus nigra,35,Fair,RNFP,Protect,4.8,No,250,428.jpg,Photo: 317-319.jpg,Matched
318,,427,Austrian Pine,Pinus nigra,32,Fair,RNFP,Protect,4.8,No,250,427.jpg,Photo: 317-319.jpg,Matched
319,,426,Austrian Pine,Pinus nigra,33,Fair,RNFP,Protect,4.8,No,250,426.jpg,Photo: 317-319.jpg,Matched
320,,425,Austrian Pone ,Pinus nigra,29,Fair,RNFP,Protect,3.6,No,250,425.jpg,Photo: 320-321.jpg,Matched
321,,422,Austrian Pine,Pinus nigra,34,Fair,RNFP,Protect,4.8,No,250,422.jpg,Photo: 320-321.jpg,Matched
322,,424,Norway Maple,Acer platanoides,45,Good-Fair,RNFP,Protect,6,No,250,424.jpg,Photo: 322.jpg,Matched
323,,423,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,250,423.jpg,Photo: 323-324.jpg,Matched
324,,419,Austrian Pine,Pinus nigra,38,Fair,RNFP,Protect,4.8,No,250,419.jpg,Photo: 323-324.jpg,Matched
325,,421,Norway Maple,Acer platanoides,58,Good-Fair,RNFP,Protect,7.2,No,250,"421.jpg, 421_2.jpg",Photo: 325.jpg,Matched
326,,420,White Spruce,Picea glauca,9,Fair,RNFP,Protect,1.2,No,250,"420.jpg, 420_2.jpg",Photo: 326.jpg,Matched
327,,416,White Spruce,Picea glauca,10,Good-Fair,RNFP,Protect,3.6,No,250,"416.jpg, 416_2.jpg",Photo: 327.jpg,Matched
328,,418,Norway Maple,Acer platanoides,56,Good-Fair,RNFP,Protect,7.2,No,250,"418.jpg, 418_2.jpg",Photo: 328.jpg,Matched
329,,550,White Spruce,Picea glauca,11,Fair,RNFP,Remove,,Yes,250,550.jpg,Photo: 329-330.jpg,Matched
332,,417,Colorado Spruce,Picea pungens,22,Poor,RNFP,Protect,3.6,No,250,"417.jpg, 417_2.jpg",Photo: 332-333.jpg,Matched
333,,415,Colorado Spruce,Picea pungens,29,Poor,RNFP,Protect,3.6,No,250,"415.jpg, 415_2.jpg",Photo: 332-333.jpg,Matched
334,,414,Austrian Pine,Pinus nigra,39,Fair,RNFP,Protect,4.8,No,250,"414.jpg, 414_2.jpg",Photo: 334-341.jpg,Matched
335,,413,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,250,"413.jpg, 413_2.jpg",Photo: 334-341.jpg,Matched
337,,412,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,250,412.jpg,Photo: 334-341.jpg,Matched
339,,408,Austrian Pine,Pinus nigra,47,Fair,RNFP,Protect,6,No,250,408.jpg,Photo: 334-341.jpg,Matched
340,,409,Austrian Pine,Pinus nigra,31,Fair-Poor,RNFP,Protect,4.8,No,250,409.jpg,Photo: 334-341.jpg,Matched
341,,407,Austrian Pine,Pinus nigra,31,Fair,RNFP,Protect,4.8,No,250,407.jpg,Photo: 334-341.jpg,Matched
342,,406,Austrian Pine,Pinus nigra,33,Fair,RNFP,Protect,4.8,No,250,406.jpg,Photo: 342-344.jpg,Matched
343,,405,Austrian Pine,Pinus nigra,33,Fair,RNFP,Protect,4.8,No,250,"405.jpg, 405_2.jpg",Photo: 342-344.jpg,Matched
344,,402,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,250,402.jpg,Photo: 342-344.jpg,Matched
345,,404,Austrian Pine,Pinus nigra,34,Fair,RNFP,Protect,4.8,No,250,404.jpg,Photo: 345-349.jpg,Matched
346,,401,Austrian Pine,Pinus nigra,32,Fair,RNFP,Protect,4.8,No,250,"401.jpg, 401_2.jpg",Photo: 345-349.jpg,Matched
347,,410,Austrian Pine,Pinus nigra,51,Good-Fair,RNFP,Protect,7.2,No,250,410.jpg,Photo: 345-349.jpg,Matched
348,,403,Austrian Pine,Pinus nigra,32,Fair,RNFP,Protect,4.8,No,250,403.jpg,Photo: 345-349.jpg,Matched
349,,400,Austrian Pine,Pinus nigra,33,Fair,RNFP,Protect,4.8,No,250,"400.jpg, 400_2.jpg",Photo: 345-349.jpg,Matched
350,,399,Austrian Pine,Pinus nigra,34,Good-Fair,RNFP,Protect,4.8,No,250,"399.jpg, 399_2.jpg",Photo: 350-351.jpg,Matched
351,,398,Colorado Spruce,Picea pungens,26,Good-Fair,RNFP,Protect,3.6,No,250,"398.jpg, 398_2.jpg",Photo: 350-351.jpg,Matched
352,,392,Colorado Spruce,Picea pungens,28,Good,RNFP,Protect,3.6,No,250,"392.jpg, 392_2.jpg","Photo: 352,359.jpg",Matched
353,,411,Colorado Spruce,Picea pungens,48,Good-Fair,RNFP,Protect,6,No,250,411.jpg,Photo: 353-355.jpg,Matched
354,,567,Colorado Spruce,Picea pungens,39,Good-Fair,RNFP,Remove,,Yes,250,567.jpg,Photo: 353-355.jpg,Matched
355,,578,Colorado Spruce,Picea pungens,42,Good-Fair,RNFP,Protect,6,No,250,578.jpg,Photo: 353-355.jpg,Matched
356,,397,Douglas Fir,Pseudotsuga manziesii,26,Poor,RNFP,Protect,3.6,No,250,397.jpg,"Photo: 356-358.jpg, 356.jpg",Matched
357,,396,Douglas Fir,Pseudotsuga manziesii,36,Fair,RNFP,Protect,4.8,No,250,396.jpg,Photo: 356-358.jpg,Matched
358,,395,Colorado Spruce,Picea pungens,25,Good-Fair,RNFP,Protect,3.6,No,250,"395.jpg, 395_2.jpg",Photo: 356-358.jpg,Matched
360,,393,Silver Maple,Acer saccharinum,45,Good,RNFP,Protect,6,No,250,"393.jpg, 393_2.jpg",,Matched
361,,394,Austrian Pine,Pinus nigra,30,Fair,RNFP,Protect,4.8,No,250,"394.jpg, 394_2.jpg",,Matched
362,,390,Douglas Fir,Pseudotsuga manziesii,30,Fair,RNFP,Protect,4.8,No,250,"390.jpg, 390_2.jpg",,Matched
363,,388,Douglas Fir,Pseudotsuga manziesii,30,Fair,RNFP,Protect,4.8,No,250,"388.jpg, 388_2.jpg",,Matched
364,,386,Colorado Spruce,Picea pungens,26,Good,RNFP,Remove,,Yes,250,"386.jpg, 386_2.jpg",Photo: 364-366.jpg,Matched
365,,391,Douglas Fir,Pseudotsuga manziesii,33,Good-Fair,RNFP,Protect,4.8,No,250,"391.jpg, 391_2.jpg",Photo: 364-366.jpg,Matched
366,,389,Austrian Pine,Pinus nigra,19,Good-Fair,RNFP,Protect,3.6,No,250,"389.jpg, 389_2.jpg",Photo: 364-366.jpg,Matched
367,,387,Austrian Pine,Pinus nigra,33,Good-Fair,RNFP,Protect,4.8,No,250,"387.jpg, 387_2.jpg",Photo: 367-371.jpg,Matched
368,,385,Austrian Pine,Pinus nigra,26,Good-Fair,RNFP,Protect,3.6,No,250,"385.jpg, 385_2.jpg",Photo: 367-371.jpg,Matched
369,,383,Austrian Pine,Pinus nigra,29,Good-Fair,RNFP,Protect,3.6,No,250,"383.jpg, 383_2.jpg",Photo: 367-371.jpg,Matched
370,,384,Austrian Pine,Pinus nigra,31,Good-Fair,RNFP,Remove,,Yes,250,"384.jpg, 384_2.jpg",Photo: 367-371.jpg,Matched
371,,379,Austrian Pine,Pinus nigra,33,Good-Fair,RNFP,Remove,,Yes,250,"379.jpg, 379_2.jpg",Photo: 367-371.jpg,Matched
372,,585,Austrian Pine,Pinus nigra,44,Good-Fair,RNFP,Remove,,Yes,250,585.jpg,Photo: 372.jpg,Matched
373,,581,Little Leaf Linden,Tilia cordata,48,Good,RNFP,Remove,,Yes,250,581.jpg,Photo: 373-375.jpg,Matched
374,,582,Little Leaf Linden,Tilia cordata,50,Good,RNFP,Remove,,Yes,250,582.jpg,Photo: 373-375.jpg,Matched
375,,579,Little Leaf Linden,Tilia cordata,52,Good,RNFP,Remove,,Yes,250,579.jpg,Photo: 373-375.jpg,Matched
376,,558,Norway Maple,Acer platanoides,32,Good,RNFP,Remove,,Yes,250,558.jpg,Photo: 376-377.jpg,Matched
378,,551,Blue Spruce,Picea pungens,14,Good,RNFP,Remove,,Yes,250,551.jpg,Photo: 378.jpg,Matched
402,,572,Silver Maple,Acer scaccharinum,48,Good,RNFP,Remove,,Yes,240,572.jpg,Photo: 401-404.jpg,Matched
403,,573,Austrian Pine,Pinus nigra,46,Good,RNFP,Remove,,Yes,240,573.jpg,Photo: 401-404.jpg,Matched
404,,574,Flowering Crab Apple,Malus spp.,39,Good,RNFP,Remove,,Yes,240,574.jpg,Photo: 401-404.jpg,Matched
405,,575,Horsechestnut,Aesculus hippocastanum,5,Good,RNFP,Remove,,Yes,240,575.jpg,Photo: 405.jpg,Matched
406,,576,White Birch,Betula papyrifera,19,Good-Fair,RNFP,Remove,,Yes,240,576.jpg,Photo: 406.jpg,Matched
407,,569,Flowering Crab Apple,Malus spp.,18,Good,RNFP,Remove,,Yes,240,569.jpg,Photo: 407.jpg,Matched
408,,570,Flowering Crab Apple,Malus spp.,17,Good,RNFP,Remove,,Yes,240,570.jpg,Photo: 408-409.jpg,Matched
